PRODUCTO,COLOR,GENERO
57966022,92,M
57966022,99,M
57856710,37,M
57856710,99,M
57195940,05,U
57192881,98,M
57191315,35,U
57189085,76,U
57187705,07,U
57187702,80,U
57184043,08,U
57174043,08,U
57169403,95,M
57169403,99,M
57154049,92,U
57149205,70,U
57145963,98,M
57145960,98,M
57142524,98,M
57139092,02,U
57139090,43,U
57139089,05,U
57139028,36,U
57139028,73,U
57139027,OR,U
57139027,76,U
57139025,43,U
57131319,35,U
57131319,05,U
57129092,05,U
57129091,05,U
57119207,43,U
57119202,70,U
57119202,02,U
57119031,43,U
57115964,98,M
57112889,98,M
57109096,02,U
57109095,02,U
57109094,43,U
57109086,76,U
57109030,43,U
57109029,01,U
57109029,76,U
57109028,01,U
57099079,OR,U
57098278,92,M
57097899,02,P
57097898,99,Q
57097759,01,M
57097759,85,M
57097757,08,U
57097753,70,M
57097751,99,M
57097748,OR,M
57097746,20,M
57097740,PL,M
57097718,05,M
57097718,43,M
57097717,92,D
57097716,99,M
57097716,OR,M
57097715,43,M
57097715,05,M
57097715,99,M
57097713,43,U
57097710,99,U
57097709,30,M
57097708,03,M
57097701,56,H
57097700,37,H
57097125,77,D
57097123,99,A
57097121,56,D
57097120,OR,Q
57097116,38,E
57097115,85,A
57096728,CU,M
57096726,52,F
57096724,02,F
57096723,40,F
57096722,TN,M
57096720,35,F
57096719,99,O
57096719,02,O
57096719,52,O
57096718,99,A
57096717,99,A
57096716,99,A
57096715,99,M
57096715,08,M
57096712,43,M
57096712,52,M
57096711,08,M
57096711,92,M
57096710,43,F
57096710,76,F
57096709,40,F
57096316,31,F
57096315,08,U
57096313,40,F
57096312,99,M
57096312,43,M
57096311,06,M
57096311,94,M
57096310,83,E
57096310,08,E
57096309,02,H
57096309,72,H
57096309,59,H
57096308,43,M
57096308,99,M
57096307,43,M
57096307,56,M
57096306,91,M
57096031,52,M
57096030,99,M
57096029,99,M
57096028,85,M
57096027,02,M
57096027,56,M
57096026,99,M
57096025,99,M
57096024,32,U
57096023,07,M
57096021,68,M
57096020,99,M
57096019,05,Q
57096018,99,O
57096017,92,A
57096014,92,M
57096013,92,D
57096012,02,E
57096011,99,M
57096010,02,Q
57096009,OR,M
57096008,05,Q
57096007,99,M
57096006,56,H
57096004,TN,M
57096003,OR,M
57096002,95,A
57096001,99,P
57096000,07,D
57095999,05,M
57095997,92,O
57095997,56,O
57095996,92,D
57095994,56,A
57095993,08,U
57095992,65,M
57095991,43,M
57095989,17,M
57095988,05,A
57095987,93,E
57095985,02,M
57095985,43,M
57095984,92,P
57095982,99,M
57095981,56,M
57095980,51,E
57095979,43,M
57095978,37,M
57095977,PL,M
57095977,49,M
57095976,15,D
57095975,01,M
57095975,52,M
57095974,05,Q
57095973,99,M
57095972,05,A
57095971,56,M
57095969,02,O
57095968,99,M
57095967,37,M
57095966,31,H
57095965,80,M
57095964,99,M
57095963,30,H
57095963,99,H
57095962,99,M
57095961,30,H
57095961,05,H
57095961,99,H
57095960,83,A
57095959,56,H
57095958,99,A
57095957,92,A
57095957,85,A
57095955,56,H
57095954,99,Q
57095953,99,Q
57095952,92,M
57095951,30,H
57095950,99,Q
57095949,56,H
57095949,37,H
57095949,76,H
57095949,09,H
57095948,50,H
57095948,55,H
57095948,01,H
57095948,52,H
57095947,30,H
57095946,92,H
57095946,56,H
57095945,56,H
57095811,52,M
57095810,30,M
57095809,95,M
57095808,01,M
57095807,05,M
57095807,99,M
57095806,56,O
57095804,99,M
57095803,52,Q
57095802,50,A
57095801,35,M
57095800,99,M
57095799,70,H
57095798,35,M
57095797,05,M
57095796,99,M
57095795,37,M
57095795,99,M
57095794,99,M
57095794,OR,M
57095793,05,M
57095793,99,M
57095793,81,M
57095792,52,M
57095791,43,M
57095791,02,M
57095790,05,M
57095790,99,M
57095789,75,M
57095788,79,M
57095788,56,M
57095787,98,M
57095786,43,M
57095786,05,M
57095786,30,M
57095786,96,M
57095785,94,M
57095785,56,M
57095785,05,M
57095785,35,M
57095784,01,F
57095149,20,M
57095149,08,M
57095148,07,D
57095147,CU,M
57095146,83,F
57095146,52,F
57095145,83,E
57095144,02,U
57095144,05,U
