PRODUCTO,COLOR,GENERO
47040035,08,U
47040032,30,U
47030535,39,H
47020047,08,U
47020046,08,U
47020045,08,U
47020038,90,U
47020034,30,U
47020030,08,H
47010043,30,U
47010042,30,U
47010041,02,U
47010040,02,U
47010039,02,U
47010037,90,U
47010036,90,U
47000044,30,U
43083724,52,M
43060549,94,V
43060504,99,H
43030969,TG,M
43001005,TN,M
41077775,96,M
41065029,28,M
41057796,99,M
41051109,56,M
41029068,37,M
41007767,85,M
41000478,99,M
37981294,99,M
37964051,01,M
37964051,53,M
37964051,30,M
37964051,43,M
37960369,20,M
37860369,02,M
37810456,20,M
37710456,32,M
37251103,91,U
37231125,91,U
37225948,37,U
37211107,91,U
37211105,91,U
37201130,91,U
37201128,91,U
37201118,91,U
37201111,91,U
37201107,91,U
37197116,06,U
37197115,01,U
37197115,06,U
37196315,62,U
37196315,01,U
37195953,37,U
37194764,37,U
37194398,59,U
37194398,08,U
37194398,78,U
37194398,36,U
37194064,15,U
37192011,99,H
37192006,01,O
37191272,18,U
37191272,37,U
37191270,18,U
37191270,37,U
37189404,99,H
37188258,65,U
37188258,09,U
37188258,56,U
37186315,14,U
37186314,14,U
37185959,05,U
37184770,52,U
37184770,08,U
37184764,37,U
37184045,PL,H
37182509,52,H
37182509,99,H
37182006,PL,H
37181271,18,U
37181271,37,U
37178262,52,U
37177757,43,U
37177751,15,U
37177751,92,U
37177751,43,U
37176324,92,U
37176324,30,U
37176324,37,U
37176316,62,U
37176316,01,U
37176314,14,U
37175946,09,U
37174764,37,U
37174066,30,U
37172504,30,H
37172504,99,H
37172006,PL,H
37171270,01,U
37170398,01,U
37170389,01,U
37169089,70,U
37167736,08,U
37167732,34,M
37167732,99,M
37167120,43,U
37167120,81,U
37167119,81,U
37167111,52,U
37166321,01,U
37166321,62,U
37166316,62,U
37166316,01,U
37165965,99,U
37164772,92,U
37164765,68,U
37164762,99,M
37164402,08,U
37164399,99,M
37164397,57,U
37164397,37,U
37164068,65,U
37164067,52,U
37164067,05,U
37164067,83,U
37164034,99,H
37161272,01,U
37161271,01,U
37161270,01,U
37159093,01,U
37159090,43,U
37157752,43,U
37157743,56,U
37157115,28,U
37156716,76,U
37156318,62,U
37156318,01,U
37155959,83,U
37155956,05,U
37155139,20,U
37155139,15,U
37155139,76,U
37154772,92,U
37154401,08,U
37154400,TA,U
37154069,05,U
37154068,20,U
37154067,20,U
37154066,20,U
37154065,15,U
37152008,CU,H
37152007,99,H
37151274,01,U
37151272,01,U
37151270,18,U
37151270,37,U
37151203,95,U
37151203,08,U
37151203,02,U
37151202,02,U
37151202,08,U
37151202,95,U
37151103,57,U
37151103,37,U
37150478,01,U
37150430,01,U
37150421,91,U
37150394,01,U
37150386,01,U
37150376,01,U
37150367,01,U
37150366,01,U
37148260,02,U
37147750,20,U
37147749,20,U
37147743,70,U
37147731,49,M
37147730,99,M
37147726,30,H
37146318,62,U
37146318,01,U
37146317,62,U
37146316,62,U
37146316,01,U
37145965,56,U
37145965,92,U
37145957,05,U
37145947,37,U
37144767,68,U
37144766,37,U
37144404,52,U
37144066,37,U
37144065,15,U
37142012,99,H
37142012,PL,H
37142010,PL,H
37142009,99,H
37142009,CU,H
37142009,52,H
37142008,PL,H
37142007,PL,H
37141274,01,U
37141273,01,U
37141257,98,U
37141255,01,U
37141254,02,U
37141254,08,U
37141254,95,U
37141253,02,U
37141253,08,U
37141253,95,U
37141252,95,U
37141252,08,U
37141252,02,U
37141250,01,U
37140450,01,U
37140429,01,U
37140428,91,U
37140420,01,U
37140413,01,U
37140411,91,U
37140402,01,U
37140164,94,D
37140164,99,D
37140164,52,D
37140164,56,D
37139091,43,U
37139090,70,U
37139086,70,U
37137751,70,U
37137747,01,U
37137746,30,U
37137745,40,U
37137745,OR,U
37137113,08,U
37137112,52,U
37137112,15,U
37136318,62,U
37136318,01,U
37136317,01,U
37136317,62,U
37134036,PL,H
37134035,99,H
37132515,98,M
37132514,98,M
37132513,TM,M
37132513,TN,M
37132513,TO,M
37132011,99,H
37132010,01,H
37132009,OR,H
37132008,PL,H
37132007,PL,H
37131125,57,U
37131125,37,U
37129087,05,U
37128630,01,U
37128265,52,U
37128265,08,U
37128264,08,U
37128264,52,U
37127752,43,U
37127737,08,U
37126328,12,U
37126327,12,U
37126319,62,U
37126319,01,U
37125949,09,U
37125948,05,U
37124772,99,U
37124046,PL,H
37122011,99,H
37122010,01,H
37122009,OR,H
37121272,01,U
37120369,01,U
37120364,01,U
37118631,01,U
37118259,56,U
37118259,65,U
37118259,09,U
37116325,70,U
37116325,43,U
37116320,62,U
37116320,01,U
37116319,62,U
37116319,01,U
37116316,14,U
37116315,14,U
37115966,92,U
37115966,56,U
