PRODUCTO,COLOR,GENERO,PRODUCTO_BASE64,PRODUCTOS_BASE64
57966022,92,M,IHsgImMiOiAiOTIiLCAiZyI6ICJNIiwgImkiOiAiNTc5NjYwMjIifSA=,IFsgeyAiYyI6ICI5MiIsICJpIjogIjU3OTY2MDIyIn0gXSA=
57856710,37,M,IHsgImMiOiAiMzciLCAiZyI6ICJNIiwgImkiOiAiNTc4NTY3MTAifSA=,IFsgeyAiYyI6ICIzNyIsICJpIjogIjU3ODU2NzEwIn0gXSA=
57856710,99,M,IHsgImMiOiAiOTkiLCAiZyI6ICJNIiwgImkiOiAiNTc4NTY3MTAifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3ODU2NzEwIn0gXSA=
57195940,05,U,IHsgImMiOiAiMDUiLCAiZyI6ICJVIiwgImkiOiAiNTcxOTU5NDAifSA=,IFsgeyAiYyI6ICIwNSIsICJpIjogIjU3MTk1OTQwIn0gXSA=
57192881,98,M,IHsgImMiOiAiOTgiLCAiZyI6ICJNIiwgImkiOiAiNTcxOTI4ODEifSA=,IFsgeyAiYyI6ICI5OCIsICJpIjogIjU3MTkyODgxIn0gXSA=
57191315,35,U,IHsgImMiOiAiMzUiLCAiZyI6ICJVIiwgImkiOiAiNTcxOTEzMTUifSA=,IFsgeyAiYyI6ICIzNSIsICJpIjogIjU3MTkxMzE1In0gXSA=
57189085,76,U,IHsgImMiOiAiNzYiLCAiZyI6ICJVIiwgImkiOiAiNTcxODkwODUifSA=,IFsgeyAiYyI6ICI3NiIsICJpIjogIjU3MTg5MDg1In0gXSA=
57187705,07,U,IHsgImMiOiAiMDciLCAiZyI6ICJVIiwgImkiOiAiNTcxODc3MDUifSA=,IFsgeyAiYyI6ICIwNyIsICJpIjogIjU3MTg3NzA1In0gXSA=
57187702,80,U,IHsgImMiOiAiODAiLCAiZyI6ICJVIiwgImkiOiAiNTcxODc3MDIifSA=,IFsgeyAiYyI6ICI4MCIsICJpIjogIjU3MTg3NzAyIn0gXSA=
57184043,08,U,IHsgImMiOiAiMDgiLCAiZyI6ICJVIiwgImkiOiAiNTcxODQwNDMifSA=,IFsgeyAiYyI6ICIwOCIsICJpIjogIjU3MTg0MDQzIn0gXSA=
57174043,08,U,IHsgImMiOiAiMDgiLCAiZyI6ICJVIiwgImkiOiAiNTcxNzQwNDMifSA=,IFsgeyAiYyI6ICIwOCIsICJpIjogIjU3MTc0MDQzIn0gXSA=
57169403,99,M,IHsgImMiOiAiOTkiLCAiZyI6ICJNIiwgImkiOiAiNTcxNjk0MDMifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MTY5NDAzIn0gXSA=
57169403,95,M,IHsgImMiOiAiOTUiLCAiZyI6ICJNIiwgImkiOiAiNTcxNjk0MDMifSA=,IFsgeyAiYyI6ICI5NSIsICJpIjogIjU3MTY5NDAzIn0gXSA=
57154049,92,U,IHsgImMiOiAiOTIiLCAiZyI6ICJVIiwgImkiOiAiNTcxNTQwNDkifSA=,IFsgeyAiYyI6ICI5MiIsICJpIjogIjU3MTU0MDQ5In0gXSA=
57149205,70,U,IHsgImMiOiAiNzAiLCAiZyI6ICJVIiwgImkiOiAiNTcxNDkyMDUifSA=,IFsgeyAiYyI6ICI3MCIsICJpIjogIjU3MTQ5MjA1In0gXSA=
57145963,98,M,IHsgImMiOiAiOTgiLCAiZyI6ICJNIiwgImkiOiAiNTcxNDU5NjMifSA=,IFsgeyAiYyI6ICI5OCIsICJpIjogIjU3MTQ1OTYzIn0gXSA=
57145960,98,M,IHsgImMiOiAiOTgiLCAiZyI6ICJNIiwgImkiOiAiNTcxNDU5NjAifSA=,IFsgeyAiYyI6ICI5OCIsICJpIjogIjU3MTQ1OTYwIn0gXSA=
57142524,98,M,IHsgImMiOiAiOTgiLCAiZyI6ICJNIiwgImkiOiAiNTcxNDI1MjQifSA=,IFsgeyAiYyI6ICI5OCIsICJpIjogIjU3MTQyNTI0In0gXSA=
57139092,02,U,IHsgImMiOiAiMDIiLCAiZyI6ICJVIiwgImkiOiAiNTcxMzkwOTIifSA=,IFsgeyAiYyI6ICIwMiIsICJpIjogIjU3MTM5MDkyIn0gXSA=
57139090,43,U,IHsgImMiOiAiNDMiLCAiZyI6ICJVIiwgImkiOiAiNTcxMzkwOTAifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MTM5MDkwIn0gXSA=
57139089,05,U,IHsgImMiOiAiMDUiLCAiZyI6ICJVIiwgImkiOiAiNTcxMzkwODkifSA=,IFsgeyAiYyI6ICIwNSIsICJpIjogIjU3MTM5MDg5In0gXSA=
57139028,36,U,IHsgImMiOiAiMzYiLCAiZyI6ICJVIiwgImkiOiAiNTcxMzkwMjgifSA=,IFsgeyAiYyI6ICIzNiIsICJpIjogIjU3MTM5MDI4In0gXSA=
57139028,73,U,IHsgImMiOiAiNzMiLCAiZyI6ICJVIiwgImkiOiAiNTcxMzkwMjgifSA=,IFsgeyAiYyI6ICI3MyIsICJpIjogIjU3MTM5MDI4In0gXSA=
57139027,OR,U,IHsgImMiOiAiT1IiLCAiZyI6ICJVIiwgImkiOiAiNTcxMzkwMjcifSA=,IFsgeyAiYyI6ICJPUiIsICJpIjogIjU3MTM5MDI3In0gXSA=
57139027,76,U,IHsgImMiOiAiNzYiLCAiZyI6ICJVIiwgImkiOiAiNTcxMzkwMjcifSA=,IFsgeyAiYyI6ICI3NiIsICJpIjogIjU3MTM5MDI3In0gXSA=
57139025,43,U,IHsgImMiOiAiNDMiLCAiZyI6ICJVIiwgImkiOiAiNTcxMzkwMjUifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MTM5MDI1In0gXSA=
57131319,35,U,IHsgImMiOiAiMzUiLCAiZyI6ICJVIiwgImkiOiAiNTcxMzEzMTkifSA=,IFsgeyAiYyI6ICIzNSIsICJpIjogIjU3MTMxMzE5In0gXSA=
57131319,05,U,IHsgImMiOiAiMDUiLCAiZyI6ICJVIiwgImkiOiAiNTcxMzEzMTkifSA=,IFsgeyAiYyI6ICIwNSIsICJpIjogIjU3MTMxMzE5In0gXSA=
57129092,05,U,IHsgImMiOiAiMDUiLCAiZyI6ICJVIiwgImkiOiAiNTcxMjkwOTIifSA=,IFsgeyAiYyI6ICIwNSIsICJpIjogIjU3MTI5MDkyIn0gXSA=
57129091,05,U,IHsgImMiOiAiMDUiLCAiZyI6ICJVIiwgImkiOiAiNTcxMjkwOTEifSA=,IFsgeyAiYyI6ICIwNSIsICJpIjogIjU3MTI5MDkxIn0gXSA=
57119207,43,U,IHsgImMiOiAiNDMiLCAiZyI6ICJVIiwgImkiOiAiNTcxMTkyMDcifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MTE5MjA3In0gXSA=
57119202,02,U,IHsgImMiOiAiMDIiLCAiZyI6ICJVIiwgImkiOiAiNTcxMTkyMDIifSA=,IFsgeyAiYyI6ICIwMiIsICJpIjogIjU3MTE5MjAyIn0gXSA=
57119202,70,U,IHsgImMiOiAiNzAiLCAiZyI6ICJVIiwgImkiOiAiNTcxMTkyMDIifSA=,IFsgeyAiYyI6ICI3MCIsICJpIjogIjU3MTE5MjAyIn0gXSA=
57119031,43,U,IHsgImMiOiAiNDMiLCAiZyI6ICJVIiwgImkiOiAiNTcxMTkwMzEifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MTE5MDMxIn0gXSA=
57115964,98,M,IHsgImMiOiAiOTgiLCAiZyI6ICJNIiwgImkiOiAiNTcxMTU5NjQifSA=,IFsgeyAiYyI6ICI5OCIsICJpIjogIjU3MTE1OTY0In0gXSA=
57112889,98,M,IHsgImMiOiAiOTgiLCAiZyI6ICJNIiwgImkiOiAiNTcxMTI4ODkifSA=,IFsgeyAiYyI6ICI5OCIsICJpIjogIjU3MTEyODg5In0gXSA=
